Statistical profiling result from .\isolate-000001F9E0ABE580-20512-v8.log, (20519 ticks, 24 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.5%  LazyCompile: *setupHelper D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:1020:36
      4    0.0%    0.5%  LazyCompile: *processWaitQueue D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cmap\connection_pool.js:406:21
      4    0.0%    0.5%  LazyCompile: *invokeAmbiguous D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:699:44
      4    0.0%    0.5%  LazyCompile: *hasTimedOut D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\sessions.js:552:16
      4    0.0%    0.5%  LazyCompile: *get node:_http_incoming:108:16
      4    0.0%    0.5%  LazyCompile: *formatValue node:internal/util/inspect:745:21
      4    0.0%    0.5%  LazyCompile: *WhitespaceControl.BlockStatement.WhitespaceControl.DecoratorBlock.WhitespaceControl.PartialBlockStatement D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\whitespace-control.js:75:152
      4    0.0%    0.5%  LazyCompile: *Socket._writeGeneric node:net:791:42
      4    0.0%    0.5%  LazyCompile: *Program D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\compiler.js:113:28
      4    0.0%    0.5%  LazyCompile: *Msg D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cmap\commands.js:317:16
      3    0.0%    0.4%  RegExp: ^(?:\{\{(~)?&)
      3    0.0%    0.4%  LazyCompile: *slowCases node:internal/util:165:19
      3    0.0%    0.4%  LazyCompile: *shift D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\denque\index.js:122:40
      3    0.0%    0.4%  LazyCompile: *serializeObject D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\bson\lib\parser\serializer.js:260:25
      3    0.0%    0.4%  LazyCompile: *serializeBinary D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\bson\lib\parser\serializer.js:462:25
      3    0.0%    0.4%  LazyCompile: *serialize D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\bson\lib\bson.js:110:19
      3    0.0%    0.4%  LazyCompile: *ret D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\runtime.js:188:15
      3    0.0%    0.4%  LazyCompile: *resOnFinish node:_http_server:793:21
      3    0.0%    0.4%  LazyCompile: *replaceStack D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:892:38
      3    0.0%    0.4%  LazyCompile: *relative node:path:496:11
      3    0.0%    0.4%  LazyCompile: *ondata node:internal/streams/readable:752:18
      3    0.0%    0.4%  LazyCompile: *onMessage D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cmap\connection.js:156:14
      3    0.0%    0.4%  LazyCompile: *mergeSource D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:267:36
      3    0.0%    0.4%  LazyCompile: *invokePartial D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:725:40
      3    0.0%    0.4%  LazyCompile: *end node:_http_outgoing:833:45
      3    0.0%    0.4%  LazyCompile: *emit node:events:475:44
      3    0.0%    0.4%  LazyCompile: *compile D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\compiler.js:63:28
      3    0.0%    0.4%  LazyCompile: *clearBuffer node:internal/streams/writable:529:21
