Statistical profiling result from .\isolate-000001F9E0ABE580-20512-v8.log, (20519 ticks, 24 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  LazyCompile: *render D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\application.js:548:29
      1    0.0%    0.1%  LazyCompile: *removeAt node:internal/priority_queue:93:11
      1    0.0%    0.1%  LazyCompile: *remove node:internal/linkedlist:16:16
      1    0.0%    0.1%  LazyCompile: *readableAddChunk D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\node_modules\readable-stream\lib\internal\streams\readable.js:216:26
      1    0.0%    0.1%  LazyCompile: *readFile node:fs:373:18
      1    0.0%    0.1%  LazyCompile: *pushProgram D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:615:36
      1    0.0%    0.1%  LazyCompile: *push D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:868:22
      1    0.0%    0.1%  LazyCompile: *processPromiseRejections node:internal/process/promises:211:34
      1    0.0%    0.1%  LazyCompile: *processIncomingData D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cmap\message_stream.js:84:29
      1    0.0%    0.1%  LazyCompile: *preparePath D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\helpers.js:63:21
      1    0.0%    0.1%  LazyCompile: *prepareMustache D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\helpers.js:99:25
      1    0.0%    0.1%  LazyCompile: *pipe D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\send\index.js:506:43
      1    0.0%    0.1%  LazyCompile: *parserOnIncoming node:_http_server:857:26
      1    0.0%    0.1%  LazyCompile: *parse D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cmap\commands.js:426:10
      1    0.0%    0.1%  LazyCompile: *parse D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\minimatch\minimatch.js:413:9
      1    0.0%    0.1%  LazyCompile: *originalurl D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\parseurl\index.js:65:22
      1    0.0%    0.1%  LazyCompile: *onwrite D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\node_modules\readable-stream\lib\internal\streams\writable.js:373:17
      1    0.0%    0.1%  LazyCompile: *ondata D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\node_modules\readable-stream\lib\internal\streams\readable.js:697:18
      1    0.0%    0.1%  LazyCompile: *onStatError D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\send\index.js:412:57
      1    0.0%    0.1%  LazyCompile: *onParserExecuteCommon node:_http_server:696:31
      1    0.0%    0.1%  LazyCompile: *onFinish node:_http_outgoing:828:18
      1    0.0%    0.1%  LazyCompile: *omitRight D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\whitespace-control.js:188:19
      1    0.0%    0.1%  LazyCompile: *now D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\utils.js:571:13
      1    0.0%    0.1%  LazyCompile: *module.exports D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\utils-merge\index.js:16:36
      1    0.0%    0.1%  LazyCompile: *maybeReadMore_ node:internal/streams/readable:609:24
      1    0.0%    0.1%  LazyCompile: *join node:path:421:7
      1    0.0%    0.1%  LazyCompile: *insert node:internal/priority_queue:34:9
      1    0.0%    0.1%  LazyCompile: *initialize D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\passport\lib\middleware\initialize.js:51:29
      1    0.0%    0.1%  LazyCompile: *inflight D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\inflight\inflight.js:7:19
      1    0.0%    0.1%  LazyCompile: *incRefCount node:internal/timers:299:21
      1    0.0%    0.1%  LazyCompile: *hash D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-session\index.js:596:14
      1    0.0%    0.1%  LazyCompile: *handle D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\layer.js:86:49
      1    0.0%    0.1%  LazyCompile: *handle D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\application.js:165:29
      1    0.0%    0.1%  LazyCompile: *getEncodingPriority D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\negotiator\lib\encoding.js:98:29
      1    0.0%    0.1%  LazyCompile: *getContext D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:427:34
      1    0.0%    0.1%  LazyCompile: *get writeConcern D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\collection.js:127:21
      1    0.0%    0.1%  LazyCompile: *get node:net:1753:6
      1    0.0%    0.1%  LazyCompile: *get node:internal/bootstrap/pre_execution:382:8
      1    0.0%    0.1%  LazyCompile: *get node:internal/bootstrap/pre_execution:370:8
      1    0.0%    0.1%  LazyCompile: *fromOptions D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\write_concern.js:40:23
      1    0.0%    0.1%  LazyCompile: *flow node:internal/streams/readable:1008:14
      1    0.0%    0.1%  LazyCompile: *finish D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\glob\common.js:122:17
      1    0.0%    0.1%  LazyCompile: *execute D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\operations\find.js:30:12
      1    0.0%    0.1%  LazyCompile: *debug D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\debug\src\debug.js:65:17
      1    0.0%    0.1%  LazyCompile: *createUnsafeBuffer node:internal/buffer:1059:28
      1    0.0%    0.1%  LazyCompile: *createProtoAccessControl D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\internal\proto-access.js:19:34
      1    0.0%    0.1%  LazyCompile: *copyObjectLooseModern D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\fast-copy\dist\cjs\index.cjs:212:31
      1    0.0%    0.1%  LazyCompile: *compileProgram D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\compiler.js:87:42
      1    0.0%    0.1%  LazyCompile: *command D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\sdam\server.js:152:12
      1    0.0%    0.1%  LazyCompile: *cleanupCursor D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cursor\abstract_cursor.js:536:23
      1    0.0%    0.1%  LazyCompile: *classifySexpr D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\compiler.js:363:40
      1    0.0%    0.1%  LazyCompile: *checkListener node:events:258:23
      1    0.0%    0.1%  LazyCompile: *braceExpand D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\minimatch\minimatch.js:109:21
      1    0.0%    0.1%  LazyCompile: *basename node:path:749:11
      1    0.0%    0.1%  LazyCompile: *asJson D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino\lib\tools.js:91:17
      1    0.0%    0.1%  LazyCompile: *app.<computed> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\application.js:490:25
      1    0.0%    0.1%  LazyCompile: *app D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\express.js:38:21
      1    0.0%    0.1%  LazyCompile: *anonymous D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\parser.js:549:49
      1    0.0%    0.1%  LazyCompile: *accept D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\visitor.js:57:26
      1    0.0%    0.1%  LazyCompile: *_flushOutput node:_http_outgoing:951:63
      1    0.0%    0.1%  LazyCompile: *TimersList node:internal/timers:241:20
      1    0.0%    0.1%  LazyCompile: *Socket._read node:net:618:34
      1    0.0%    0.1%  LazyCompile: *Readable.on node:internal/streams/readable:874:33
      1    0.0%    0.1%  LazyCompile: *MustacheStatement D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\compiler.js:215:48
      1    0.0%    0.1%  LazyCompile: *Long.compare D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\bson\lib\long.js:291:39
      1    0.0%    0.1%  LazyCompile: *Glob._finish D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\glob\glob.js:185:35
      1    0.0%    0.1%  LazyCompile: *FastBuffer node:internal/buffer:958:14
      1    0.0%    0.1%  LazyCompile: *ExpressHandlebars.render D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-handlebars\dist\express-handlebars.js:222:51
      1    0.0%    0.1%  LazyCompile: *ExpressHandlebars._compileTemplate D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-handlebars\dist\express-handlebars.js:313:61
      1    0.0%    0.1%  LazyCompile: *EventEmitter.init node:events:327:29
      1    0.0%    0.1%  LazyCompile: *ContentStatement D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\compiler.js:228:46
      1    0.0%    0.1%  LazyCompile: *BlockStatement D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\compiler.js:130:42
      1    0.0%    0.1%  LazyCompile: *Binary D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\bson\lib\binary.js:42:20
      1    0.0%    0.1%  LazyCompile: *BinMsg D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cmap\commands.js:394:16
      1    0.0%    0.1%  LazyCompile: *AbstractCursor D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cursor\abstract_cursor.js:51:16
      1    0.0%    0.1%  LazyCompile: *<anonymous> node:internal/util:347:32
      1    0.0%    0.1%  LazyCompile: *<anonymous> node:internal/fs/utils:681:42
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\socket.io\dist\index.js:262:27
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\sdam\server.js:42:35
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\sdam\server.js:204:42
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\operations\execute_operation.js:69:70
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\mongo_client.js:252:31
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cursor\abstract_cursor.js:428:42
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cursor\abstract_cursor.js:188:52
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:235:48
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-session\index.js:598:43
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-handlebars\dist\express-handlebars.js:98:47
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-handlebars\dist\express-handlebars.js:368:47
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-handlebars\dist\express-handlebars.js:107:67
      1    0.0%    0.1%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\dateformat\lib\dateformat.js:1:696
      1    0.0%    0.1%  LazyCompile: *<anonymous> :1:20
      1    0.0%    0.1%  Function: ^validateNumber node:internal/validators:123:24
      1    0.0%    0.1%  Function: ^shouldSave D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-session\index.js:440:24
      1    0.0%    0.1%  Function: ^set D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\application.js:359:23
      1    0.0%    0.1%  Function: ^selectServer D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\sdam\topology.js:254:17
      1    0.0%    0.1%  Function: ^render D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\application.js:548:29
      1    0.0%    0.1%  Function: ^prog D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\runtime.js:260:16
      1    0.0%    0.1%  Function: ^processPromiseRejections node:internal/process/promises:211:34
      1    0.0%    0.1%  Function: ^preferredEncodings D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\negotiator\lib\encoding.js:138:28
      1    0.0%    0.1%  Function: ^pipe D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\send\index.js:506:43
      1    0.0%    0.1%  Function: ^noop node:internal/util/debuglog:47:14
      1    0.0%    0.1%  Function: ^merge D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\qs\lib\utils.js:47:27
      1    0.0%    0.1%  Function: ^lex D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\parser.js:525:30
      1    0.0%    0.1%  Function: ^lambda D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\runtime.js:141:28
      1    0.0%    0.1%  Function: ^l D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\dateformat\lib\dateformat.js:1:2705
      1    0.0%    0.1%  Function: ^join node:path:421:7
      1    0.0%    0.1%  Function: ^isFunction D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\utils.js:46:37
      1    0.0%    0.1%  Function: ^getEncodingOps node:buffer:679:24
      1    0.0%    0.1%  Function: ^get session D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\operations\operation.js:44:16
      1    0.0%    0.1%  Function: ^get readConcern D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\collection.js:104:20
      1    0.0%    0.1%  Function: ^format D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\quick-format-unescaped\index.js:8:16
      1    0.0%    0.1%  Function: ^exports.sign D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\cookie-signature\index.js:16:24
      1    0.0%    0.1%  Function: ^emit node:events:475:44
      1    0.0%    0.1%  Function: ^deserializeObject D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\bson\lib\parser\deserializer.js:65:27
      1    0.0%    0.1%  Function: ^clearBuffer node:internal/streams/writable:529:21
      1    0.0%    0.1%  Function: ^arrayClone node:events:879:20
      1    0.0%    0.1%  Function: ^addListeners D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\compression\index.js:229:23
      1    0.0%    0.1%  Function: ^addCatch node:events:348:18
      1    0.0%    0.1%  Function: ^SourceNode_toString D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\source-map\lib\source-node.js:318:61
      1    0.0%    0.1%  Function: ^SonicBoom.write D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\sonic-boom\index.js:237:38
      1    0.0%    0.1%  Function: ^Readable.on node:internal/streams/readable:874:33
      1    0.0%    0.1%  Function: ^Object.entries.reduce.plain D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\lib\utils.js:385:58
      1    0.0%    0.1%  Function: ^<anonymous> file:///D:/Courses/Backend%20Coderhouse/Clase%2030%20-%20PROXY%20_%20NGINX/Servidor-con-balance-de-carga/routes/mainRouter.js:47:25
      1    0.0%    0.1%  Function: ^<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\qs\lib\utils.js:92:48
      1    0.0%    0.1%  Function: ^<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\sdam\monitor.js:304:58
      1    0.0%    0.1%  Function: ^<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cursor\find_cursor.js:54:79
      1    0.0%    0.1%  Function: ^<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cmap\connection_pool.js:293:27
      1    0.0%    0.1%  Function: ^<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-session\index.js:598:43
      1    0.0%    0.1%  Function: ^<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-session\index.js:485:38

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
    793    3.9%   97.1%  JavaScript
      0    0.0%    0.0%  C++
    244    1.2%   29.9%  GC
  19702   96.0%          Shared libraries
     24    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  15856   77.3%  C:\WINDOWS\SYSTEM32\ntdll.dll
    771    4.9%    LazyCompile: *Socket._writeGeneric node:net:791:42
    673   87.3%      LazyCompile: *Socket._write node:net:828:35
    673  100.0%        LazyCompile: *_write node:internal/streams/writable:283:16
    334   49.6%          LazyCompile: *value node:internal/console/constructor:258:20
    334  100.0%            Function: ^log node:internal/console/constructor:359:6
    247   36.7%          LazyCompile: *Writable.write node:internal/streams/writable:333:36
    247  100.0%            Function: ^value node:internal/console/constructor:258:20
     92   13.7%          LazyCompile: *ondata node:internal/streams/readable:752:18
     92  100.0%            LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
     98   12.7%      Function: ^Socket._write node:net:828:35
     98  100.0%        LazyCompile: *_write node:internal/streams/writable:283:16
     85   86.7%          LazyCompile: *Writable.write node:internal/streams/writable:333:36
     85  100.0%            Function: ^value node:internal/console/constructor:258:20
     13   13.3%          LazyCompile: *ondata node:internal/streams/readable:752:18
     13  100.0%            LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
    384    2.4%    LazyCompile: *<anonymous> file:///D:/Courses/Backend%20Coderhouse/Clase%2030%20-%20PROXY%20_%20NGINX/Servidor-con-balance-de-carga/routes/mainRouter.js:47:25
    253   65.9%      LazyCompile: *dispatch D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\route.js:98:45
    253  100.0%        LazyCompile: *handle D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\layer.js:86:49
    253  100.0%          LazyCompile: *next D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\index.js:177:16
    253  100.0%            LazyCompile: *handle D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\index.js:136:31
    131   34.1%      LazyCompile: *handle D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\layer.js:86:49
    131  100.0%        Function: ^next D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\route.js:116:16
    131  100.0%          Function: ^dispatch D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\route.js:98:45
    131  100.0%            LazyCompile: *handle D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\layer.js:86:49
    205    1.3%    LazyCompile: *ondata D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\node_modules\readable-stream\lib\internal\streams\readable.js:697:18
    178   86.8%      LazyCompile: *readableAddChunk D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\node_modules\readable-stream\lib\internal\streams\readable.js:216:26
    178  100.0%        LazyCompile: *ondata node:internal/streams/readable:752:18
    178  100.0%          LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
    140   78.7%            LazyCompile: *Transform._write node:internal/streams/transform:178:38
     38   21.3%            LazyCompile: *transform D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\split2\index.js:24:20
     27   13.2%      LazyCompile: *emit node:events:475:44
     27  100.0%        Function: ^addChunk D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\node_modules\readable-stream\lib\internal\streams\readable.js:280:18
     27  100.0%          Function: ^readableAddChunk D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\node_modules\readable-stream\lib\internal\streams\readable.js:216:26
     27  100.0%            LazyCompile: *ondata node:internal/streams/readable:752:18

   3807   18.6%  D:\Programs\nodejs\node.exe
   2025   53.2%    D:\Programs\nodejs\node.exe
    144    7.1%      D:\Programs\nodejs\node.exe
     16   11.1%        LazyCompile: *syncExports node:internal/bootstrap/loaders:287:14
     15   93.8%          Function: ^compileForPublicLoader node:internal/bootstrap/loaders:246:25
     15  100.0%            Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      1    6.3%          Function: ^<anonymous> node:internal/bootstrap/loaders:273:15
      1  100.0%            D:\Programs\nodejs\node.exe
     13    9.0%        LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\dateformat\lib\dateformat.js:1:696
      9   69.2%          Function: ^formatTime D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\lib\utils.js:67:21
      9  100.0%            LazyCompile: *pretty D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\index.js:119:19
      4   30.8%          LazyCompile: *formatTime D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\lib\utils.js:67:21
      4  100.0%            LazyCompile: *pretty D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino-pretty\index.js:119:19
      9    6.3%        LazyCompile: *quotedString D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\code-gen.js:118:38
      5   55.6%          LazyCompile: *compile D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:73:28
